product_code,price,price_is_discounted,price_without_discount,currency,price_per,date,location_osm_type,location_osm_id,category_tag
3263670455014,2.95,False,,EUR,,2023-11-27,NODE,1392117416,
3263670790214,4.3,False,,EUR,,2023-11-27,NODE,1392117416,
3302016002014,7.39,False,,EUR,,2023-11-27,NODE,1392117416,
3307130602553,5.75,False,,EUR,,2023-11-27,NODE,1392117416,
3329489900586,4.02,False,,EUR,,2023-11-27,NODE,1392117416,
3347434889816,2.89,False,,EUR,,2023-11-27,NODE,1392117416,
3456300007930,2.73,False,,EUR,,2023-11-27,NODE,1392117416,
3456300010503,2.99,False,,EUR,,2023-11-27,NODE,1392117416,
3468310000245,33.11,False,,EUR,,2023-11-27,NODE,1392117416,
3468310000306,31.92,False,,EUR,,2023-11-27,NODE,1392117416,
3760020509347,3.26,False,,EUR,,2023-11-27,NODE,1392117416,
3760094450170,4.68,False,,EUR,,2023-11-27,NODE,1392117416,
8717496903617,3.69,False,,EUR,,2023-11-27,NODE,1392117416,
26018294,2.79,False,,EUR,,2024-01-05,NODE,1793355690,
26067780,3.89,False,,EUR,,2024-01-05,NODE,1793355690,
26013077,2.19,False,,EUR,,2024-01-05,NODE,1793355690,
26026596,1.99,False,,EUR,,2024-01-05,NODE,1793355690,
26008103,1.59,False,,EUR,,2024-01-05,NODE,1793355690,
3038350013002,0.99,False,,EUR,,2024-01-07,WAY,27108404,
3250392654023,1.77,False,,EUR,,2024-01-13,WAY,71133895,
3266980035303,3.73,False,,EUR,,2024-01-19,WAY,872934393,
3154230809548,4.99,False,,EUR,,2024-01-18,NODE,3724356275,
8076809513678,2.47,False,,EUR,,2024-01-24,WAY,872934393,
8008343299664,4.01,False,,EUR,,2024-01-24,WAY,872934393,
3038359004155,2.66,False,,EUR,,2024-01-24,WAY,872934393,
3038359007620,2.94,False,,EUR,,2024-01-24,WAY,872934393,
3038359004582,1.6,False,,EUR,,2024-01-24,WAY,872934393,
3596710447374,2.05,False,,EUR,,2024-01-24,WAY,872934393,
3596710447381,3.1,False,,EUR,,2024-01-24,WAY,872934393,
3596710447367,1.18,False,,EUR,,2024-01-24,WAY,872934393,
3038359010507,3.79,False,,EUR,,2024-01-24,WAY,872934393,
3560071096281,2.09,False,,EUR,,2024-01-25,NODE,1631644114,
30182165,1.19,False,,EUR,,2024-01-25,WAY,872934393,
3183280033290,2.95,False,,EUR,,2024-01-26,WAY,872934393,
8410764013734,2.39,False,,EUR,,2024-01-13,WAY,1115806596,
3154230802228,2.39,False,,EUR,,2024-01-25,NODE,9396525327,
3256220061100,2.82,False,,EUR,,2024-01-25,NODE,9396525327,
3181231002050,10.44,False,,EUR,,2024-01-27,NODE,4665329150,
3248830001324,5.95,False,,EUR,,2024-01-20,WAY,1156618039,
1904864550000,10.95,False,,EUR,,2024-01-07,NODE,6488466585,
3038350013002,1.28,False,,EUR,,2024-02-01,NODE,3105429739,
3245415348812,3.9,False,,EUR,,2024-01-30,WAY,35437649,
3245415851374,3.79,False,,EUR,,2024-01-30,WAY,35437649,
3564709164847,6.29,False,,EUR,,2024-02-01,NODE,8076120629,
3270190023661,2.19,False,,EUR,,2024-01-22,WAY,35437649,
3266140057824,4.78,False,,EUR,,2024-02-03,WAY,204128538,
3261055930460,5.49,False,,EUR,,2024-02-03,WAY,74918337,
3250391239191,1.86,False,,EUR,,2024-02-04,NODE,2073144718,
3760269070417,4.23,False,,EUR,,2024-02-04,WAY,872934393,
3596710491667,4.34,False,,EUR,,2024-02-04,WAY,872934393,
5413110068535,5.25,False,,EUR,,2024-02-04,WAY,872934393,
3596710375400,4.03,False,,EUR,,2024-02-04,WAY,872934393,
3596710325399,6.95,False,,EUR,,2024-02-04,WAY,872934393,
3596710403592,3.64,False,,EUR,,2024-02-04,WAY,872934393,
3596710530687,3.79,False,,EUR,,2024-02-04,WAY,872934393,
3596710303632,2.7,False,,EUR,,2024-02-06,WAY,872934393,
5011308303194,3.75,False,,EUR,,2024-02-07,NODE,1443462548,
3230890014000,8.29,False,,EUR,,2024-02-07,NODE,1443462548,
3038359007620,2.71,False,,EUR,,2024-02-07,WAY,27108404,
3038354190709,2.24,False,,EUR,,2024-02-07,WAY,27108404,
3038359007651,1.89,False,,EUR,,2024-02-07,WAY,27108404,
3038359007101,3.68,False,,EUR,,2024-02-07,WAY,27108404,
3038359007644,3.57,False,,EUR,,2024-02-07,WAY,27108404,
3021690017298,2.12,False,,EUR,,2024-02-07,WAY,27108404,
3250390108245,1.19,False,,EUR,,2024-02-07,WAY,27108404,
3250390171935,2.05,False,,EUR,,2024-02-10,NODE,246286922,
3350033980822,6.35,False,,EUR,,2024-02-11,WAY,74647496,
3350033977884,5.39,False,,EUR,,2024-02-11,WAY,74647496,
3302740057465,3.99,False,,EUR,,2024-02-11,WAY,74647496,
3302740606106,4.79,False,,EUR,,2024-02-11,WAY,74647496,
3302740447020,4.85,False,,EUR,,2024-02-11,WAY,74647496,
3248830242390,5.19,False,,EUR,,2024-02-11,WAY,74647496,
3248830687559,5.39,False,,EUR,,2024-02-11,WAY,74647496,
3248832967284,4.19,False,,EUR,,2024-02-11,WAY,74647496,
3248832940522,5.39,False,,EUR,,2024-02-11,WAY,74647496,
3248830001645,5.69,False,,EUR,,2024-02-11,WAY,74647496,
3011250013549,2.39,False,,EUR,,2024-02-11,WAY,74647496,
3596690760487,5.09,False,,EUR,,2024-02-11,WAY,74647496,
3367651008456,5.79,False,,EUR,,2024-02-11,WAY,74647496,
3248830720188,6.59,False,,EUR,,2024-02-11,WAY,74647496,
3154230809517,3.69,False,,EUR,,2024-02-11,WAY,74647496,
3154230809272,1.89,False,,EUR,,2024-02-11,WAY,74647496,
3154230809838,2.09,False,,EUR,,2024-02-11,WAY,74647496,
3154230809425,6.19,False,,EUR,,2024-02-11,WAY,74647496,
3302740047336,2.19,False,,EUR,,2024-02-11,WAY,74647496,
3154230801467,1.95,False,,EUR,,2024-02-11,WAY,74647496,
3154230801269,1.95,False,,EUR,,2024-02-11,WAY,74647496,
3154230801313,2.15,False,,EUR,,2024-02-11,WAY,74647496,
3033610002796,3.89,False,,EUR,,2024-02-11,WAY,74647496,
3449840002244,4.49,False,,EUR,,2024-02-11,WAY,74647496,
3449865379482,3.39,False,,EUR,,2024-02-11,WAY,74647496,
3449865240898,3.15,False,,EUR,,2024-02-11,WAY,74647496,
3302740021244,3.49,False,,EUR,,2024-02-11,WAY,74647496,
3302740024504,2.49,False,,EUR,,2024-02-11,WAY,74647496,
3038359007736,4.6,False,,EUR,,2024-02-12,NODE,1443462548,
3487400006981,1.99,False,,EUR,,2024-02-12,NODE,1443462548,
3261055951441,2.89,False,,EUR,,2024-02-14,WAY,75521876,
3250392654023,1.77,False,,EUR,,2024-02-13,WAY,71133895,
3240931540573,3.17,False,,EUR,,2024-02-15,NODE,5163093760,
3242272256854,3.16,False,,EUR,,2024-02-15,NODE,5163093760,
3256477081029,8.54,False,,EUR,,2024-02-15,WAY,75521876,
3379670016442,2.88,False,,EUR,,2024-02-15,WAY,75521876,
3379670012468,2.65,False,,EUR,,2024-02-15,WAY,75521876,
3250390787266,3.29,False,,EUR,,2024-02-15,WAY,75521876,
3049580545560,2.24,False,,EUR,,2024-02-15,WAY,75521876,
