"Numero de département","Numéro agrément/Approval number","SIRET","Raison SOCIALE - Enseigne commerciale/Name","Adresse/Adress","Code postal/Postal code","Commune/Town","Catégorie/Category","Activités associées/Associated activities","Espèce/Specy"
"24","24.470.002","98747908600017","LA GRANGE DU MOULIN DE MIOUDRE"," 552 RTE DE MIOUDRE","24370","SAINTE-MONDANE","PP","",""
"24","24.498.004","82914547300015","L'AUTRUCHE PERIGOURDINE"," 189 ROUTE DE LA PESEE","24470","SAINT-SAUD-LACOUSSIERE","PP","I(CP);III(CP);III(SH)",""
"24","24.498.008","80217052200022","GARON FILS"," 3 ROUTE DU TACOT","24470","SAINT-SAUD-LACOUSSIERE","PP","I(CP);II(CP);V(MP)",""
"24","24.510.001","90799814000012","LASSIGNARDIE BENOIT - LA FERME DU PORT D ENVEAUX"," LD PORT D ENVEAUX","24220","SAINT-VINCENT-DE-COSSE","PP","II(CP);II(SH)",""
"24","24.516.003","42239523600017","EARL LA FERME DES MARTHRES"," LD LES MARTHRES","24590","SALIGNAC-EYVIGUES","PP","II(CP);II(SH)",""
"24","24.520.001","90363279200029","L'OIE DES PRUNEAUX"," 140 AV JOSEPHINE BAKER","24200","SARLAT-LA-CANEDA","PP","",""
"24","24.520.002","60165014600090","EURALIS GASTRONOMIE","MADRAZES SUD AVENUE DU PERIGORD","24200","SARLAT-LA-CANEDA","PP","0(CS);II(CP);VIII(PP)",""
"24","24.520.004","30152443500015","CHARCUTERIE DE CAMPAGNE VAUX"," MADRAZES SUD","24200","SARLAT-LA-CANEDA","PP","I(CP);II(CP)",""
"24","24.520.023","48131648700018","LA FERME DE SARLAT"," CAMINEL","24200","SARLAT-LA-CANEDA","PP","II(CP);V(MP)",""
"24","24.521.001","33195229100028","A LA TRUFFE DU PERIGORD"," LA DULGARIE","24420","SARLIAC SUR L'ISLE","PP","",""
"24","24.522.001","44871331300014","EARL LA FERME DE LAUPILIERE","LAUPILIERE 57 PLACE BEAUSEJOUR","24800","SARRAZAC","PP","II(CP);II(SH)",""
"24","24.540.001","43349552000010","FERME ANDREVIAS EARL"," 636 AVENUE DE LIMOGES","24420","SORGES ET LIGUEUX EN PERIGORD","PP","II(CP);II(SH);XII(PP)",""
"24","24.544.001","40830216400012","SARL LE GITE DE FAVARD - LE GITE DE FAVARD"," 107 ROUTE D'ALLELUYA","24620","TAMNIES","PP","",""
"24","24.555.001","90887837400010","DOMAINE DE LA CROUZILLE"," LA CROUZILLE","24390","TOURTOIRAC","PP","",""
"24","24.558.001","44340434800015","SARL EXPLOIT FOIES GRAS DANOS FRERES"," LE CINGLE","24510","TREMOLAT","PP","XII(PP)",""
"24","24.559.001","32900927800022","EARL DES GRANGES"," 2013 ROUTE DE LA VALLEE","24620","TURSAC","PP","II(CP);II(SH)",""
"24","24.563.001","42870121300012","LALEU DOMINIQUE"," VALADIER","24290","VALOJOULX","PP","II(CP);II(SH)",""
"24","24.564.001","43962684700016","SARL LA BELAUDIE HAVARD"," LA BELAUDIE","24600","VANXAINS","PP","II(CP);XII(PP)",""
"24","24.571.001","34353263600010","BIBIE DANIEL"," LA FERME DE FRAYSSE","24380","VERGT","PP","II(CP);II(SH)",""
"24","24.577.003","34794070200033","LA TABLE PERIGOURDINE","LE MOULIN DE CAILLOU 59 RUE VICTOR HUGO","24220","VEZAC","PP","",""
"25","25.039.050","47881256300011","JEAN LOUIS AMIOTTE"," 9 RUE DE LA GARE","25690","AVOUDREY","PP","",""
"25","25.051.025","39066909100022","SALAISONS COMTOISES"," 2 RUE DES MUROTS","25380","BELLEHERBE","PP","V(MP)",""
"25","25.056.023","72282099000017","SARL MAISON COURBET - SARL MAISON COURBET - L'ECRIN BISTRONOMIQUE"," 71 RUE DE DOLE","25000","BESANCON","PP","",""
"25","25.056.024","48751570200032","CHARCUTERIE BONNET","CENTRE COMMERCIAL DE PLANOISE 1 AVENUE DE BOURGOGNE","25000","BESANCON","PP","V(MP)",""
"25","25.056.058","19251263000034","ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNEL AGRICOLE DE BESANCON GRANVELLE - CFPPA CHATEAUFARINE"," 10 RUE FRANCOIS VILLON","25000","BESANCON","PP","XI(PP)",""
"25","25.084.010","50007115400016","EURL PRESTA DECOUPE VIANDE"," 26 CHEMIN DU BAS DES VIGNES","25320","BOUSSIERES","PP","I(CP);II(CP);V(MP)",""
"25","25.110.030","45206100500016","S.D.T."," ZONE DE LOISIRS","25300","CHAFFOIS","PP","I(CP);V(MP)",""
"25","25.228.001","48522004000029","LEHMANN - SARL LEHMANN"," 390 AV RENE JACOT","25460","ETUPES","PP","I(CP);II(CP);IX(PP);V(MP)",""
