depInsee,dossApproNumConcatLb,etbSiret,etbLb,adrConcat,codePostalNb,comNomSimplifie,aggCatUe,aggActiviteAssocie,aggEspUe
85,85.191.020,78803455100010,SOFRILOG OUEST,"BD SULLY ",85000,LA ROCHE-SUR-YON,CS;WM,,
85,85.191.021,00728036500102,PEPINIERES BOUTIN . - ATLAGEL,"10 IMP LAVOISIER ",85000,LA ROCHE-SUR-YON,CS,,
85,85.191.026,35368693400020,CAP MAREE ATLANTIQUE,PARC ECO 85 ZA ACTI EST PARC ECO 85,85000,LA ROCHE-SUR-YON,CS,,
85,85.191.027,30925717800082,DEVAUD,PARC ECO 85 ZA ACTI EST PARC ECO 85,85000,LA ROCHE-SUR-YON,CS,,
85,85.191.029,77571510500836,ADAPEI ARIA DE VENDEE - EA BAZINIERES,ZONE INDUSTRIELLE NORD LES BAZINIERES,85000,LA ROCHE-SUR-YON,CS,,
85,85.194.025,78803455100218,SOFRILOG OUEST,"QUAI ARCHEREAU ",85100,LES SABLES-D'OLONNE,CS,,
85,85.211.001,83128548100014,ROCHETEAU DECOUPE,"ZA LA CROIX ",85150,SAINTE-FLAIVE-DES-LOUPS,WM,I(CP),
85,85.212.003,50089104900149,STEF LOGISTIQUE PAYS DE LOIRE,PARC ACTIVITES ECONOMIQUES DU PAYS DES ESSARTS PARC ACTIVITES ECONOMIQUES,85140,ESSARTS EN BOCAGE,CS;WM,,
85,85.215.001,54665036700016,ARRIVE,"RUE DU STADE ",85250,SAINT-FULGENT,CS;RW,II(CP);II(SH);V(MP),
85,85.215.003,31261392000049,JEAN ROUTHIAU,"AV DE LA METAIRIE ",85250,SAINT-FULGENT,CS,I(CP);VIII(PP);VI(PP);V(MP),
85,85.215.009,34783091100074,KENTY,"ZA DE LA METAIRIE ",85250,SAINT-FULGENT,CS,,
85,85.223.001,33104646600032,ETABLISSEMENTS BODIN ET FILS,"LES TERRES DOUCES ",85210,SAINTE-HERMINE,CS,II(CP);V(MP),
85,85.234.001,52333039700010,VOLAILLES ELIE FRESLON,OROUET LES SARRAZINES OROUET,85160,SAINT-JEAN-DE-MONTS,CS,II(CP),
85,85.240.002,87896532600019,TERRE DE GALLIE,"14 RUE MARY MAYNE ",85590,SAINT-MALO-DU-BOIS,CS,II(CP);V(MP),
85,85.246.002,32822285600010,ETS THOMAS ET FILS,"LD LA RIOLIERE ",85140,SAINT-MARTIN-DES-NOYERS,CS,II(CP);II(SH),
85,85.264.003,39215437300030,AUMAND DIS-FRAIS,ZA A L'OREE DU BOIS ZA A L'OREE DU BOIS ZA A L'OREE DU BOIS,85120,SAINT-PIERRE-DU-CHEMIN,CS,IX(PP),
85,85.284.002,35166976700011,FAVREAU COUTHOUIS,"27 LD LA GARE ",85300,SOULLANS,CS,II(CP);II(SH),
85,85.300.001,39931561300915,METRO FRANCE,"ECONOMIQUE LA LANDETTE ZONE INDUSTRIELLE LA LANDETTE ",85190,VENANSAULT,CS,VIII(FFPP),
85,85.302.004,78803455100242,SOFRILOG OUEST,ZONE INDUSTRIELLE LE LANDREAU RUE NEWTON ZI LE LANDREAU,85130,CHANVERRIE,CS,I(CP),
86,86.027.003,30476391500176,GENERALE DE DISTRIBUTION ALIMENTAIRE,"ZI DE LARNAY ",86580,BIARD,CS,,
86,86.046.002,31109999800057,ETABLISSEMENTS LEGEAY,"31 RUE DE TOURAINE ",86530,CENON-SUR-VIENNE,CS,,
86,86.066.005,50089104900024,STEF LOGISTIQUE PAYS DE LOIRE - STEF,ZI DU SANITAL 15 AV ALFRED NOBEL ZI DU SANITAL,86100,CHATELLERAULT,CS,,
86,86.066.013,41221501400025,BONDY VIANDES SARL,ZI DU SANITAL 12 AV ALFRED NOBEL ZI DU SANITAL,86100,CHATELLERAULT,RW,I(CP),
86,86.099.002,41889463000015,TRANSPORTS JAMMET,PARC D'ACTIVITES D'ANTHYLL PARC ACTIVITES ANTHYLLIS,86340,FLEURE,CS,,
86,86.160.002,52536146500012,MARIE SURGELES,"8 RUE DE L'INDUSTRIE ",86110,MIREBEAU,CS,VIII(FFPP);VI(PP),
86,86.165.002,75212964300017,ABATTOIR DE MONTMORILLON,ZI SUD RUE PIERRE PAGENAUD ZI SUD,86500,MONTMORILLON,CS,I(CP);I(SH),
86,86.183.002,55204499201723,POMONA,"ZA DE LA COUASSE ",86220,LES ORMES,CS,,
86,86.193.001,62204843700033,SAS LIOT,3-7 7 AV VICTOR HUGO 3-7,86450,PLEUMARTIN,CS,X(PP),
86,86.194.011,39931561300105,METRO FRANCE,ZONE INDUSTRIELLE DE LARNAY 10 AV MARCEL DASSAULT ZI DE LARNAY,86000,POITIERS,CS,VIII(FFPP),
86,86.194.012,33278723300037,FRIGO-TRANSPORTS 86 - FRIGO TRANSPORTS 17,ZONE INDUSTRIELLE DE LA REPUBLIQUE 2 RUE VICTOR GRIGNARD,86000,POITIERS,CS,,
86,86.293.001,84211179100021,AK POITIERS,"12 RUE DES SABLONS ",86370,VIVONNE,RW,I(CP);VI(PP);V(MP),
86,86.293.003,84211179100039,AK POITIERS - Etablissement sans enseigne,"CHEMIN DE PRAIRE ",86370,VIVONNE,CS;RW,I(CP);II(CP),
87,87.049.003,67692023400124,TRANSPORTS RENE MADRIAS,"LE BOURG ",87500,COUSSAC-BONNEVAL,CS,,
87,87.050.338,30578592500143,GUILMOT-GAUDAIS,ZONE ARTISANALE OCEALIM 16 AV MARYSE BASTIE ZONE ARTISANALE OCEALIM,87270,COUZEIX,CS,,
87,87.085.006,40238454900026,CENTRE VIANDE FRANCIS PLAINEMAISON,"18 AV DE L ABATTOIR ",87000,LIMOGES,CS;RW,I(CP);II(CP);III(CP);VI(PP);V(MM);V(MP),
87,87.085.012,39006773400033,STEF TRANSPORT LIMOGES,ANCIENNEMENT ZA NORD 87280 LIMOGES 3 RUE ENZO FERRARI ANCIENNEMENT ZA NORD 87280 LIMOGES,87280,LIMOGES,CS,,
87,87.085.019,30476391500168,GENERALE DE DISTRIBUTION ALIMENTAIRE,RUE DE NEXON ESPACE NEPTUNE,87000,LIMOGES,CS,,
87,87.085.021,39931561300220,METRO FRANCE,"AV DE L ABATTOIR ",87000,LIMOGES,CS,VIII(FFPP),
87,87.085.026,41889463000023,TRANSPORTS JAMMET,ZONE INDUSTRIELLE NORD 2 RUE FREDERIC BASTIAT,87280,LIMOGES,CS,,
87,87.085.031,79791414000018,PROXICASH - PROMOCASH,ZI NORD 2 RUE NICOLAS APPERT,87280,LIMOGES,CS,VIII(FFPP),
87,87.085.038,38059644500011,PATILABO,ZI NORD 20 RUE PIERRE MICHAUX ZI NORD,87280,LIMOGES,CS,,
87,87.085.045,51533955400021,SAVEURS D'ANTOINE," 41 AV DES CAMBUSES 41-43",87280,LIMOGES,CS,,
87,87.085.046,35083332300024,FRIGEGRO,ZI NORD 53 RUE CLAUDE HENRI GORCEIX ZI NORD,87280,LIMOGES,CS,,
87,87.085.072,37771444900099,KRILL,"7 RUE NICOLAS APPERT ",87280,LIMOGES,CS,,
87,87.135.001,80846494500019,DAKANA SERVICES,"25 RUE DE LA POUGE ",87310,SAINT-AUVENT,CS,,
88,88.079.001,78342327000017,UNION LAITIERE VITTELLOISE,"718 RUE DIVISION LECLERC ",88140,BULGNEVILLE,CS,IX(PP),
