sous_categorie,halal,temoin,pct_halal,pct_temoin,ecart_points
autres_carnes,357,15715,18.3,23.0,-4.7
charcuterie_cuite,343,13206,17.5,19.3,-1.8
panes,290,2155,14.8,3.2,11.6
saucisses,240,5778,12.3,8.5,3.8
charcuterie_seche,235,6031,12.0,8.8,3.2
plats_cuisines,142,10753,7.3,15.7,-8.4
preparations_marinees,113,1776,5.8,2.6,3.2
viande_hachee,104,1118,5.3,1.6,3.7
decoupes,91,6130,4.7,9.0,-4.3
rillettes_pates_mousses,39,5594,2.0,8.2,-6.2
foie_gras,1,77,0.1,0.1,0.0
