mesure,famille,marques,n,mediane,ic95_bas,ic95_haut,regle_30
nutriscore_sans_carrefour,mdd,2,28,1.25,-2.0,4.0,sous 30
nutriscore_sans_carrefour,industriel,6,108,0.0,0.0,5.0,franchie
nutriscore_sans_carrefour,specialiste_halal,32,776,4.0,2.0,6.0,franchie
