sous_categorie,n,pct
charcuterie_seche,234,80.8
charcuterie_cuite,342,46.5
saucisses,238,30.3
autres_carnes,355,29.9
rillettes_pates_mousses,39,7.7
preparations_marinees,112,7.1
plats_cuisines,142,7.0
decoupes,91,4.4
viande_hachee,104,1.9
panes,290,0.7
