groupe,n,ecart_median,ic95_bas,ic95_haut,strates,distingue_du_marche
SFCVH,98,-0.2,-0.2,0.0,20,non
AVS — A Votre Service,142,-0.1,-0.3,0.365,25,non
ARGML — Grande Mosquee de Lyon,157,0.0,-0.28,0.6,29,non
halal SANS certificateur,1286,0.2,0.05,0.3,45,oui
Mosquee d'Evry-Courcouronnes,214,0.48,0.3,0.902,36,oui
