label,n,ecart_median,ic95_bas,ic95_haut,strates,pct_halal,distingue_du_marche
en:2016-nutrition-labelling-experiment,114,-0.02,-0.07,0.0,11,0.0,non
en:new,77,-0.02,-0.07,0.0,20,2.6,non
en:french-poultry,6065,-0.02,-0.03,-0.02,44,3.1,oui
en:nutriscore-grade-c,1675,-0.02,-0.02,0.0,39,2.4,non
en:no-flavour-enhancer,257,-0.02,-0.07,0.0,33,3.9,non
en:pure-beef,235,-0.02,-0.04,-0.017,12,7.7,oui
en:nutriscore-experiment,147,-0.02,-0.07,0.0,17,0.0,non
de:ohne-polyphosphate,49,-0.019,-0.11,0.1,16,2.0,non
fr:info-tri-point-vert,186,-0.019,-0.07,0.0,28,1.1,non
fr:pme-plus,91,-0.019,-0.11,0.02,20,0.0,non
en:french-meat,18702,-0.017,-0.02,-0.01,58,1.3,oui
en:without-antibiotics-after-weaning,87,-0.01,-0.1,0.0,11,0.0,non
en:distributor-labels,501,-0.01,-0.03,0.0,38,0.2,non
en:pure-pork,317,-0.01,-0.1,0.01,14,0.0,non
en:nutriscore-experiment-grade-b,46,-0.01,-0.057,0.0,8,0.0,non
fr:concours-general-agricole,87,0.0,0.0,0.19,14,0.0,non
fr:aucun,33,0.0,-0.1,0.175,15,3.0,non
de:ohne-gentechnik,34,0.0,-0.12,0.24,14,2.9,non
en:french-pork,8975,0.0,-0.01,0.0,39,0.0,non
en:made-in-belgium,153,0.0,-0.1,0.1,23,0.0,non
fr:sans-antioxydant-ajoute,31,0.0,-0.1,0.1,8,0.0,non
fr:eco-emballages,590,0.0,-0.008,0.005,43,2.5,non
fr:medaille-de-bronze-du-concours-general-agricole,40,0.0,0.0,0.19,6,0.0,non
fr:selection-intermarche,396,0.0,-0.019,0.01,35,0.3,non
fr:sans-nitrite,46,0.0,-0.1,0.1,12,0.0,non
fr:societe-francaise-de-controle-de-viande-halal,98,0.0,-0.03,0.0,23,100.0,non
fr:origine-france,284,-0.0,-0.04,0.003,42,1.1,non
fr:maitre-artisan,40,0.0,-0.2,0.105,15,0.0,non
en:transformed-in-france,534,0.0,-0.014,0.03,38,0.2,non
en:no-preservatives,3792,0.0,0.0,0.0,55,0.5,non
en:societe-francaise-de-controle-de-viande-halal-grande-mosquee-de-paris,42,0.0,-0.1,0.0,12,100.0,non
en:no-lactose,608,0.0,-0.02,0.09,42,1.5,non
en:kosher,155,0.0,-0.051,0.082,36,1.9,non
en:made-in-germany,167,0.0,-0.03,0.09,26,2.4,non
en:no-palm-oil,561,0.0,-0.013,0.0,32,8.0,non
en:made-in-france,4339,0.0,0.0,0.0,58,2.4,non
en:green-dot,9177,0.0,0.0,0.0,60,2.5,non
en:no-gluten,3280,0.0,0.0,0.0,54,3.4,non
fr:savourez-l-alsace,98,0.01,-0.027,0.135,18,0.0,non
fr:lapin-francais,201,0.01,-0.01,0.175,9,0.0,non
en:products-for-professional-use,58,0.015,-0.005,0.29,23,10.3,non
fr:agri-ethique-france,33,0.03,-0.11,0.13,10,0.0,non
en:artisanal-production,122,0.03,-0.03,0.125,20,0.0,non
fr:la-lorraine-notre-signature,80,0.035,-0.044,0.19,10,0.0,non
en:low-fat,118,0.07,-0.024,0.4,25,3.4,non
en:low-or-no-fat,127,0.08,-0.013,0.2,28,3.9,non
en:qs-certification-mark,132,0.09,-0.1,0.22,23,0.0,non
en:nutriscore-grade-d,1083,0.1,0.09,0.109,50,2.5,oui
en:incorrect-data-on-label,38,0.16,0.02,0.495,18,13.2,oui
en:made-in-swiss,89,0.175,0.0,0.3,21,0.0,non
en:german-agricultural-society,38,0.2,-0.086,0.505,15,0.0,non
fr:recycle-plastique,98,0.2,0.0,0.338,13,0.0,non
en:nutriscore-grade-e,698,0.2,0.115,0.2,28,0.9,oui
en:smoked-with-beech-wood,388,0.2,0.1,0.3,23,4.1,oui
en:pgi,1388,0.21,0.19,0.29,25,0.1,oui
en:incorrect-nutrition-facts-on-label,36,0.215,0.08,0.6,17,13.9,oui
en:halal,1920,0.3,0.29,0.381,49,100.0,oui
en:carbon-footprint,309,0.3,0.216,0.39,14,0.0,oui
fr:a-votre-service,143,0.3,0.1,0.4,25,100.0,oui
fr:artisan,37,0.3,0.1,0.4,13,0.0,oui
en:gold-medal-of-the-german-agricultural-society,32,0.345,-0.11,0.525,13,0.0,non
en:made-in-italy,343,0.375,0.18,0.9,22,0.3,oui
fr:controle-de-la-mosquee-d-evry-courcouronnes,216,0.4,0.37,0.5,38,100.0,oui
en:reduced-fat,65,0.4,0.03,1.1,15,0.0,oui
fr:sud-de-france,61,0.59,0.08,0.59,18,0.0,oui
en:made-in-spain,238,0.595,0.088,1.47,14,2.9,oui
fr:association-rituelle-de-la-grande-mosquee-de-lyon,157,0.72,0.45,0.932,30,100.0,oui
en:30-less-fat,34,1.9,0.65,1.9,7,0.0,oui
en:pdo,164,2.513,2.4,2.6,21,0.0,oui
en:tsg,258,2.962,2.8,3.0,6,0.0,oui
