etablissement,departement,insee,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,part_mer_pct,ecart_sans_dominante,regle_30,alerte_mer
fr-76-400-001,76,76400,45,13,1,0.0,1.6,inconnue,51.1,0.0,0.5,franchie,False
fr-72-331-001,72,72331,169,29,0,0.0,1.4,bahier,29.6,0.0,0.0,franchie,False
fr-85-215-001,85,85215,113,10,0,0.0,0.18,maitre-coq,69.0,0.0,0.0,franchie,False
fr-12-063-025,12,12063,149,24,0,0.0,3.0,despi,28.9,0.0,2.0,franchie,False
fr-56-109-001,56,56109,45,8,0,0.0,0.13,inconnue,40.0,0.0,0.0,franchie,False
fr-72-054-002,72,72054,31,6,0,0.0,1.1,bordeau-chesnel,67.7,0.0,0.0,franchie,False
fr-72-080-002,72,72080,142,33,2,0.0,0.85,socopa,39.4,0.0,0.0,franchie,False
fr-72-175-001,72,72175,53,13,3,0.0,0.57,monoprix,39.6,0.0,1.0,franchie,False
fr-61-181-001,61,61181,30,2,0,0.0,1.27,inconnue,56.7,0.0,-3.0,franchie,False
fr-61-096-020,61,61096,35,13,3,0.0,0.15,monoprix,17.1,0.0,0.0,franchie,False
fr-38-051-001,38,38051,46,12,0,0.0,0.22,carrefour,23.9,0.0,-1.0,franchie,False
fr-69-238-010,69,69238,69,24,0,0.0,4.3,carrefour,39.1,0.0,0.0,franchie,False
fr-43-262-001,43,43262,48,5,0,0.0,5.0,inconnue,77.1,0.0,0.0,franchie,False
fr-35-004-002,35,35004,30,8,0,0.0,1.3,brient,33.3,0.0,-0.5,franchie,False
fr-35-360-005,35,35360,51,6,0,0.0,1.0,jean-roze,51.0,0.0,1.0,franchie,False
fr-35-162-009,35,35162,40,8,0,0.0,1.9,biocoop,77.5,0.0,,franchie,False
fr-02-617-001,02,02617,72,20,0,0.0,0.83,panzani,26.4,0.0,0.0,franchie,False
fr-47-091-011,47,47091,50,11,0,0.0,0.84,lechef,44.0,0.0,0.0,franchie,False
fr-62-767-005,62,62767,131,3,0,0.0,1.93,herta,72.5,0.0,0.0,franchie,False
fr-63-427-001,63,63427,58,26,0,0.0,4.6,carrefour,17.2,0.0,0.0,franchie,False
fr-47-323-329,47,47323,35,12,0,0.0,0.87,inconnue,20.0,0.0,0.0,franchie,False
fr-66-172-001,66,66172,51,4,0,0.0,1.9,inconnue,51.0,0.0,0.0,franchie,False
fr-14-752-020,14,14752,273,44,0,0.0,2.0,inconnue,29.3,0.0,-1.0,franchie,False
fr-56-225-001,56,56225,43,6,0,0.0,0.15,marque-repere,41.9,0.0,0.0,franchie,False
fr-25-357-050,25,25357,33,3,0,0.0,1.76,inconnue,90.9,0.0,,franchie,False
fr-22-364-008,22,22364,63,12,0,0.0,1.2,marque-repere,47.6,0.0,0.0,franchie,False
fr-29-020-020,29,29020,36,12,0,0.0,0.67,marie,44.4,0.0,0.0,franchie,False
fr-62-865-007,62,62865,36,8,0,0.0,0.79,inconnue,27.8,0.0,-1.0,franchie,False
fr-85-086-001,85,85086,59,19,1,0.0,1.5,cora,15.3,0.0,1.0,franchie,False
fr-85-154-002,85,85154,148,13,0,0.0,0.76,fleury-michon,79.1,0.0,0.0,franchie,False
fr-85-140-001,85,85140,64,3,0,0.0,1.8,fleury-michon,96.9,0.0,,franchie,False
fr-56-261-001,56,56261,82,16,0,0.0,1.19,pere-dodu,67.1,0.0,1.0,franchie,False
fr-57-032-001,57,57032,170,37,0,0.0,4.0,carrefour,22.4,0.0,1.0,franchie,False
fr-13-083-001,13,13083,33,9,0,0.0,1.3,bigard,48.5,0.0,0.0,franchie,False
fr-85-051-003,85,85051,116,3,32,0.0,1.8,fleury-michon,94.8,0.0,,franchie,False
fr-85-059-004,85,85059,130,16,0,0.0,1.9,bioporc,32.3,0.0,0.0,franchie,False
fr-22-136-007,22,22136,48,13,0,0.0,2.0,carrefour,33.3,0.0,0.0,franchie,False
fr-10-297-001,10,10297,39,16,0,0.0,1.9,inconnue,38.5,0.0,2.0,franchie,False
fr-87-085-003,87,87085,120,23,0,0.0,1.6,madrange,50.0,0.0,0.5,franchie,False
fr-13-074-001,13,13074,53,16,0,0.0,2.0,inconnue,43.4,0.0,-1.0,franchie,False
fr-01-053-015,01,01053,35,11,0,0.0,2.1,inconnue,40.0,0.0,1.0,franchie,False
fr-22-093-001,22,22093,235,45,1,1.0,1.6,madrange,20.0,0.0,1.0,franchie,False
fr-22-225-001,22,22225,138,30,0,1.0,1.6,stephan,47.1,0.0,0.0,franchie,False
fr-87-001-001,87,87001,61,23,0,1.0,1.5,arnaud,24.6,0.0,0.0,franchie,False
fr-81-124-012,81,81124,44,7,0,1.0,4.45,maison-milhau,75.0,0.0,2.0,franchie,False
fr-12-300-005,12,12300,30,15,0,1.0,4.87,auchan,23.3,0.0,1.0,franchie,False
fr-85-233-001,85,85233,47,19,0,1.0,1.2,maitre-coq,42.6,0.0,1.0,franchie,False
fr-85-065-001,85,85065,62,15,0,1.0,1.15,maitre-coq,48.4,0.0,0.0,franchie,False
fr-29-004-023,29,29004,222,16,0,1.0,1.9,tallec,40.5,0.0,1.0,franchie,False
fr-29-051-020,29,29051,50,15,0,1.0,2.1,madrange,28.0,0.0,1.5,franchie,False
fr-22-321-008,22,22321,36,15,4,1.0,1.3,inconnue,44.4,0.0,0.0,franchie,False
fr-51-649-002,51,51649,38,14,1,1.0,0.95,carrefour,21.1,0.0,1.0,franchie,False
fr-55-545-002,55,55545,115,25,6,1.0,4.33,berni,34.8,0.0,2.0,franchie,False
fr-44-014-001,44,44014,56,22,1,1.0,1.2,pere-dodu,26.8,0.0,1.0,franchie,False
fr-56-033-008,56,56033,34,9,0,1.0,1.8,bonval,50.0,0.0,2.0,franchie,False
fr-65-375-001,65,65375,50,22,0,1.0,1.49,jean-brunet,24.0,0.0,1.0,franchie,False
fr-62-907-002,62,62907,45,5,0,1.0,3.6,gourmets-de-l-artois,57.8,0.0,1.0,franchie,False
fr-49-239-001,49,49239,41,6,0,1.0,1.9,saveurs-des-mauges,46.3,0.0,0.5,franchie,False
fr-56-010-001,56,56010,125,31,0,1.0,2.1,carrefour,20.8,0.0,1.0,franchie,False
fr-72-090-007,72,72090,43,6,0,1.0,1.5,maison-prunier,53.5,0.0,1.0,franchie,False
fr-72-132-002,72,72132,33,8,0,1.0,1.4,carrefour,51.5,0.0,1.0,franchie,False
fr-71-350-001,71,71350,43,18,0,1.0,4.8,salaisons-du-maconnais,30.2,0.0,1.0,franchie,False
fr-71-076-001,71,71076,34,8,0,1.0,1.8,inconnue,64.7,0.0,1.0,franchie,False
fr-67-348-002,67,67348,88,20,0,1.0,1.9,stoeffler,59.1,0.0,1.5,franchie,False
fr-42-165-006,42,42165,70,22,0,1.0,3.87,inconnue,14.3,0.0,1.5,franchie,False
fr-73-215-001,73,73215,63,8,0,1.0,4.5,galibier,41.3,0.0,0.0,franchie,False
fr-72-264-002,72,72264,719,45,0,1.0,1.3,le-gaulois,56.9,0.0,1.0,franchie,False
fr-76-159-001,76,76159,31,10,0,1.0,4.88,roches-blanches,45.2,0.0,1.0,franchie,False
fr-79-329-004,79,79329,91,5,0,1.0,0.8,loeul-et-piriot,81.3,0.0,-2.0,franchie,False
fr-69-027-063,69,69027,51,4,0,1.0,1.9,inconnue,52.9,0.0,1.0,franchie,False
fr-22-272-028,22,22272,74,11,0,2.0,1.5,inconnue,25.7,0.0,1.0,franchie,False
fr-61-169-002,61,61169,40,4,1,2.0,1.01,charal,90.0,0.0,,franchie,False
fr-56-246-008,56,56246,156,16,0,2.0,1.7,inconnue,57.7,0.0,0.0,franchie,False
fr-43-211-009,43,43211,55,13,0,2.0,4.8,monique-ranou,34.5,0.0,3.5,franchie,False
