etablissement,departement,insee,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,part_mer_pct,ecart_sans_dominante,regle_30,alerte_mer
fr-01-224-001,01,01224,28,6,0,-2.0,1.2,le-pere-benoit,39.3,0.0,-2.0,sous 30,False
fr-87-085-006,87,87085,13,6,0,-2.0,0.15,monoprix,46.2,0.0,,sous 30,False
fr-19-031-003,19,19031,13,5,0,-2.0,0.36,bledina,61.5,0.0,,sous 30,False
fr-16-015-015,16,16015,10,2,0,-2.0,1.6,inconnue,50.0,0.0,,sous 30,False
fr-72-264-005,72,72264,11,1,1,-2.0,0.17,charal,100.0,0.0,,sous 30,False
fr-07-259-002,07,07259,14,4,0,-2.0,5.8,inconnue,35.7,0.0,,sous 30,False
fr-84-007-006,84,84007,12,1,0,-2.0,2.15,inconnue,100.0,0.0,,sous 30,False
fr-12-052-003,12,12052,65,24,0,-2.0,0.79,raynal-et-roquelaure,18.5,0.0,-2.0,franchie,False
fr-43-177-003,43,43177,27,3,0,-2.0,2.0,inconnue,88.9,0.0,,sous 30,False
fr-38-341-005,38,38341,43,8,0,-2.0,1.3,madrange,76.7,0.0,-2.5,franchie,False
fr-38-449-003,38,38449,22,4,0,-2.0,2.0,inconnue,50.0,0.0,-2.0,sous 30,False
fr-45-147-004,45,45147,43,11,0,-2.0,1.7,tradival,25.6,0.0,-4.0,franchie,False
fr-01-405-004,01,01405,25,3,0,-2.0,1.5,inconnue,60.0,0.0,-1.0,sous 30,False
fr-85-082-005,85,85082,13,3,0,-2.0,1.8,inconnue,69.2,0.0,,sous 30,False
fr-85-154-001,85,85154,17,6,3,-2.0,0.3,inconnue,58.8,0.0,,sous 30,False
fr-85-222-003,85,85222,40,15,0,-2.0,0.81,la-cuisine-d-oceane,30.0,5.0,-1.5,franchie,True
fr-12-052-009,12,12052,28,8,0,-2.0,1.66,inconnue,53.6,0.0,-3.0,sous 30,False
fr-32-132-023,32,32132,11,4,0,-1.5,1.5,comtesse-du-barry,63.6,0.0,,sous 30,False
fr-42-094-002,42,42094,15,7,0,-1.5,0.1,l-etal-du-boucher,26.7,0.0,-1.0,sous 30,False
fr-59-526-101,59,59526,12,5,0,-1.5,1.05,les-mijotes-de-l-abbaye,41.7,0.0,,sous 30,False
fr-11-076-006,11,11076,55,13,0,-1.5,0.9,la-belle-chaurienne,40.0,0.0,-2.0,franchie,False
fr-11-076-050,11,11076,25,14,0,-1.5,1.0,inconnue,16.0,0.0,-2.0,sous 30,False
fr-07-204-003,07,07204,12,4,0,-1.0,1.89,teyssier,41.7,0.0,,sous 30,False
fr-03-094-007,03,03094,18,5,0,-1.0,0.12,picard,55.6,0.0,,sous 30,False
fr-35-223-001,35,35223,10,1,0,-1.0,1.45,fleury-michon,100.0,0.0,,sous 30,False
fr-35-196-001,35,35196,115,18,0,-1.0,1.7,inconnue,37.4,0.0,-1.0,franchie,False
fr-35-297-003,35,35297,74,10,0,-1.0,2.0,inconnue,36.5,0.0,-1.0,franchie,False
fr-29-269-020,29,29269,97,24,0,-1.0,0.83,carrefour,23.7,2.1,-1.0,franchie,True
fr-29-247-022,29,29247,270,37,1,-1.0,1.91,monique-ranou,24.8,0.0,0.0,franchie,False
fr-72-264-003,72,72264,53,10,0,-1.0,0.67,marie,62.3,0.0,-1.0,franchie,False
fr-77-208-001,77,77208,12,5,0,-1.0,1.3,carrefour,41.7,0.0,,sous 30,False
fr-79-005-001,79,79005,43,15,0,-1.0,0.67,marie,44.2,4.7,-1.0,franchie,True
fr-80-318-001,80,80318,39,16,0,-1.0,0.22,bigard,17.9,0.0,-1.5,franchie,False
fr-80-798-003,80,80798,110,5,0,-1.0,2.0,domaine-picard,50.9,0.0,-1.0,franchie,False
fr-29-097-020,29,29097,113,31,0,-1.0,1.9,carrefour,15.9,0.0,-1.0,franchie,False
fr-35-139-001,35,35139,44,14,0,-1.0,0.73,monique-ranou,20.5,0.0,0.0,franchie,False
fr-22-046-001,22,22046,241,19,1,-1.0,1.8,marque-repere,54.4,0.0,-1.0,franchie,False
fr-22-007-001,22,22007,70,18,0,-1.0,1.5,mere-lalie,48.6,0.0,-0.5,franchie,False
fr-42-334-001,42,42334,25,13,0,-1.0,5.0,inconnue,28.0,0.0,-1.0,sous 30,False
fr-43-190-003,43,43190,26,16,0,-1.0,0.17,l-etal-du-boucher,15.4,0.0,-1.0,sous 30,False
fr-37-276-031,37,37276,18,6,0,-1.0,1.24,inconnue,44.4,0.0,-1.5,sous 30,False
fr-29-233-001,29,29233,107,14,0,-1.0,0.91,bigard,48.6,0.0,-1.0,franchie,False
fr-61-077-012,61,61077,17,2,0,-1.0,1.26,inconnue,76.5,0.0,,sous 30,False
fr-72-039-003,72,72039,45,1,0,-1.0,1.8,charcuterie-ruel,100.0,0.0,,franchie,False
fr-56-091-002,56,56091,21,9,0,-1.0,1.6,leader-price,52.4,0.0,-0.5,sous 30,False
fr-58-079-005,58,58079,18,5,0,-1.0,1.5,inconnue,66.7,0.0,,sous 30,False
fr-29-188-020,29,29188,59,18,0,-1.0,0.61,picard,30.5,0.0,-1.0,franchie,False
fr-29-225-001,29,29225,143,11,0,-1.0,1.48,henaff,85.3,2.8,0.0,franchie,True
fr-49-323-032,49,49323,62,17,0,-1.0,0.22,auchan,17.7,0.0,0.0,franchie,False
fr-44-190-005,44,44190,76,30,2,-1.0,0.89,paul-louise,21.1,0.0,-1.0,franchie,False
fr-47-032-001,47,47032,13,5,0,-1.0,0.22,bigard,61.5,0.0,,sous 30,False
fr-49-099-002,49,49099,158,12,1,-1.0,0.18,charal,82.3,0.6,-2.0,franchie,True
fr-62-506-002,62,62506,10,2,0,-1.0,1.21,inconnue,90.0,0.0,,sous 30,False
fr-67-144-001,67,67144,31,4,0,-1.0,1.7,moritz,54.8,0.0,-1.0,franchie,False
fr-85-222-009,85,85222,35,13,0,-1.0,0.8,la-cuisine-d-oceane,42.9,0.0,-1.0,franchie,True
fr-57-463-001,57,57463,37,4,0,-1.0,0.2,charal,91.9,0.0,,franchie,False
fr-84-029-001,84,84029,77,19,4,-1.0,0.81,zapetti,44.2,0.0,0.0,franchie,False
fr-81-144-022,81,81144,29,12,0,-1.0,3.6,cesar-moroni,37.9,0.0,-0.5,sous 30,False
fr-83-054-001,83,83054,17,8,0,-1.0,0.58,madern,41.2,0.0,-1.5,sous 30,False
fr-29-058-020,29,29058,16,2,0,-1.0,0.8,picard,81.2,0.0,,sous 30,False
fr-28-280-028,28,28280,10,8,1,-1.0,0.64,weight-watchers,20.0,0.0,,sous 30,False
fr-59-225-104,59,59225,15,4,0,-1.0,0.17,charal,80.0,0.0,,sous 30,False
fr-44-131-008,44,44131,30,20,0,-1.0,0.78,l-atelier-collet,13.3,0.0,-1.0,franchie,False
fr-47-326-015,47,47326,33,5,0,-1.0,1.6,lucien-georgelin,81.8,3.0,,franchie,True
fr-14-630-043,14,14630,65,12,0,-1.0,0.62,picard,46.2,0.0,0.0,franchie,False
fr-14-752-010,14,14752,224,17,6,-1.0,0.96,tendre-plus,63.8,0.0,1.0,franchie,False
fr-22-182-001,22,22182,44,17,0,-1.0,0.7,carrefour,22.7,0.0,0.0,franchie,False
fr-84-007-020,84,84007,103,27,0,-1.0,0.72,carrefour,20.4,0.0,-1.0,franchie,False
fr-11-076-009,11,11076,72,11,0,-1.0,0.77,maison-riviere,73.6,0.0,-0.5,franchie,False
fr-12-202-001,12,12202,65,20,1,-1.0,0.9,william-saurin,44.6,0.0,-1.0,franchie,False
fr-95-018-022,95,95018,56,2,0,-1.0,1.9,inconnue,85.7,0.0,,franchie,False
fr-95-280-001,95,95280,73,15,0,-1.0,1.8,madrange,31.5,0.0,-4.0,franchie,False
fr-87-187-003,87,87187,32,13,0,-1.0,1.64,comte-de-la-seynie,34.4,0.0,-1.0,franchie,False
fr-29-075-020,29,29075,10,2,0,-0.5,0.66,picard,70.0,0.0,,sous 30,False
fr-35-136-002,35,35136,18,5,0,-0.5,1.69,jean-roze,55.6,0.0,,sous 30,False
fr-47-252-001,47,47252,38,12,4,-0.5,0.81,marque-repere,21.1,0.0,-1.0,franchie,False
fr-56-017-002,56,56017,24,5,7,-0.5,1.0,inconnue,50.0,0.0,4.0,sous 30,False
fr-36-231-017,36,36231,12,6,0,-0.5,1.15,merveilles-d-asie,33.3,0.0,,sous 30,False
fr-56-094-013,56,56094,34,2,0,-0.5,1.8,inconnue,79.4,0.0,,franchie,False
fr-69-259-002,69,69259,15,3,0,0.0,1.67,inconnue,80.0,0.0,,sous 30,False
fr-76-400-001,76,76400,45,13,1,0.0,1.6,inconnue,51.1,0.0,0.5,franchie,False
fr-72-331-001,72,72331,169,29,0,0.0,1.4,bahier,29.6,0.0,0.0,franchie,False
fr-79-179-002,79,79179,29,9,0,0.0,0.18,la-nouvelle-agriculture,41.4,0.0,0.0,sous 30,False
fr-72-386-002,72,72386,20,3,0,0.0,1.1,bordeau-chesnel,80.0,0.0,,sous 30,False
fr-80-025-001,80,80025,15,5,0,0.0,1.37,conserverie-st-christophe,53.3,6.7,,sous 30,True
fr-85-215-001,85,85215,113,10,0,0.0,0.18,maitre-coq,69.0,0.0,0.0,franchie,False
fr-12-063-025,12,12063,149,24,0,0.0,3.0,despi,28.9,0.0,2.0,franchie,False
fr-12-056-001,12,12056,15,8,0,0.0,1.5,les-garibotes,40.0,0.0,,sous 30,False
fr-56-109-001,56,56109,45,8,0,0.0,0.13,inconnue,40.0,0.0,0.0,franchie,False
fr-56-075-003,56,56075,17,12,0,0.0,0.74,inconnue,17.6,0.0,0.0,sous 30,False
fr-72-054-002,72,72054,31,6,0,0.0,1.1,bordeau-chesnel,67.7,0.0,0.0,franchie,False
fr-72-080-002,72,72080,142,33,2,0.0,0.85,socopa,39.4,0.0,0.0,franchie,False
fr-72-175-001,72,72175,53,13,3,0.0,0.57,monoprix,39.6,0.0,1.0,franchie,False
fr-56-151-001,56,56151,17,2,0,0.0,0.85,picard,94.1,0.0,,sous 30,False
fr-61-181-001,61,61181,30,2,0,0.0,1.27,inconnue,56.7,0.0,-3.0,franchie,False
fr-61-096-020,61,61096,35,13,3,0.0,0.15,monoprix,17.1,0.0,0.0,franchie,False
fr-22-067-001,22,22067,11,3,0,0.0,0.17,charal,72.7,0.0,,sous 30,False
fr-29-236-010,29,29236,26,9,1,0.0,0.57,carrefour,34.6,0.0,0.0,sous 30,False
