groupe,n,ecart_median,ic95_bas,ic95_haut,strates,distingue_du_marche
SFCVH,96,0.0,0.0,0.0,20,non
AVS — A Votre Service,142,2.0,1.0,6.5,25,oui
halal SANS certificateur,1279,2.0,2.0,3.0,45,oui
ARGML — Grande Mosquee de Lyon,156,4.0,2.0,9.0,29,oui
Mosquee d'Evry-Courcouronnes,212,5.0,4.0,7.0,36,oui
