fichier,url,candidat_viande
SPA1_AGR_STQU_CP.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_AGR_STQU_CP.txt,False
SPA1_AGR_STQU_OV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_AGR_STQU_OV.txt,False
SPA1_AGR_STQU_PC.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_AGR_STQU_PC.txt,False
SPA1_CSO_TRMBL.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_CSO_TRMBL.txt,False
SPA1_XXX_AGCTRESPZBOV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_XXX_AGCTRESPZBOV.txt,False
SPA1_XXX_AGR_CTST_BV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_XXX_AGR_CTST_BV.txt,False
SPA2_AGRRG183_VAL.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_AGRRG183_VAL.txt,False
SPA2_AGRSALMO_VAL.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_AGRSALMO_VAL.txt,False
SPA2_AG_ZOOSAN_CONCH.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_AG_ZOOSAN_CONCH.txt,False
SPA2_AG_ZOOSAN_FRM_AQUA.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_AG_ZOOSAN_FRM_AQUA.txt,False
SPA2_ENRAM2802200_VAL.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_ENRAM2802200_VAL.txt,False
SPA2_TRANSPORTEUR_TYPE2.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_TRANSPORTEUR_TYPE2.txt,False
SPA5_AUTANIMSAUVA.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_AUTANIMSAUVA.txt,False
SPA5_AUTAUTRES.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_AUTAUTRES.txt,False
