agrement,nom,n_noms,commune,cp,n_siret,listes
28.177.002,GUELLIER ET FILS,1,GELLAINVILLE,28630,1,3
28.177.003,MB DISTRIBUTION - PROMOCASH,1,GELLAINVILLE,28630,1,1
28.177.006,SA MARCO ET DANIELOU,1,GELLAINVILLE,28630,1,1
28.177.007,ALKALOG,1,GELLAINVILLE,28630,1,1
28.178.003,ETABLISSEMENTS SEGUREL ET FILS,1,GERMAINVILLE,28500,1,1
28.201.002,RONSARD ILE DE FRANCE,1,JOUY,28300,1,2
28.218.011,PRESTA INDUSTRIE,1,LUCE,28110,1,1
28.218.012,VALLEGRAIN DISTRIBUTION,1,LUCE,28110,1,1
28.251.005,GAEC BENOIST,1,MEZIERES-EN-DROUAIS,28500,1,2
28.280.028,COOK INOV,1,NOGENT-LE-ROTROU,28400,1,1
28.281.004,SUPERGEL 28,1,NOGENT SUR EURE,28120,1,4
28.287.003,EARL LA FERME GRANDVILLAIN,1,ORGERES-EN-BEAUCE,28140,1,2
28.293.003,FERME DE LA GARENNE,1,OULINS,28260,1,2
28.303.001,STEF TSA ORLEANS NORD,1,POUPRY,28140,1,1
28.309.001,SARL LA FERME DE MALAGUET,1,PRUNAY-LE-GILLON,28360,1,3
28.380.001,L'AUTHENTIQUE DU BOIS D'ARET,1,SOURS,28630,1,1
28.393.004,LA FERME DU PIZAY,1,TREMBLAY-LES-VILLAGES,28170,1,1
28.402.001,SARL CHEVILLON,1,MITTAINVILLIERS-VERIGNY,28190,1,2
28.424.001,CHARCUTERIE MOUSSU / CHARCUTERIE THIROUARD - CHARCUTERIE THIROUARD MOUSSU,2,YEVRES,28160,1,2
29.004.021,JEAN-PIERRE TALLEC-L'HERITAGE DU GOUT,1,BANNALEC,29380,1,3
29.004.022,STERGOZ,1,BANNALEC,29380,1,1
29.004.023,JEAN-PIERRE TALLEC-L'HERITAGE DU GOUT,1,BANNALEC,29380,1,2
29.010.002,EARL MARC LE VERGE,1,BODILIS,29400,1,3
29.015.010,EARL MARCHADOUR,1,BOURG-BLANC,29860,1,2
29.019.020,CHARCUTERIE MARC,1,BREST,29200,1,2
29.020.001,SOCIETE BRIECOISE D'ABATTAGE,1,BRIEC,29510,1,2
29.020.003,BOUCHERIE CHARCUTERIE MENEZ,1,BRIEC,29510,1,2
29.020.020,MARIE,1,BRIEC,29510,1,1
29.023.518,LA CHIKOLODENN,1,CARANTEC,29660,1,1
29.024.001,S.M.V.,1,CARHAIX-PLOUGUER,29270,1,3
29.024.004,STELA CAPA - LB COOKING,1,CARHAIX-PLOUGUER,29270,1,1
29.024.011,ETABLISSEMENTS E. ROBIN,1,CARHAIX-PLOUGUER,29270,1,4
29.024.020,SARL LE MANACH VIANDES,1,CARHAIX-PLOUGUER,29270,1,1
29.024.040,ENTREPOTS FRIGORIFIQUES DU POHER,1,CARHAIX-PLOUGUER,29270,1,1
29.024.093,SYNUTRA FRANCE INTERNATIONAL,1,CARHAIX-PLOUGUER,29270,1,1
29.025.001,KIG A CAST,1,CAST,29150,1,1
29.026.001,FARMOR,1,CHATEAULIN,29150,1,1
29.026.002,LE MARCHE DE L AULNE,1,CHATEAULIN,29150,1,3
29.026.010,DOUX / FRANCE POULTRY,2,CHATEAULIN,29150,2,2
29.027.001,SOCOPA VIANDES,1,CHATEAUNEUF-DU-FAOU,29520,1,3
29.027.022,SECRETS DE FAMILLE,1,CHATEAUNEUF-DU-FAOU,29520,1,1
29.027.500,GUYADER L'ESPRIT DE LA MER,1,CHATEAUNEUF-DU-FAOU,29520,1,1
29.029.010,S A VOLAILLES DU POHER,1,CLEDEN-POHER,29270,1,2
29.029.040,TRANSPORTS SURGELES DE L'OUEST,1,CLEDEN-POHER,29270,1,1
