produit,marque,espece,n_halal,n_temoin,mediane_halal,mediane_temoin,ecart,ic95_bas,ic95_haut,testable
jambon_cuit,fleury-michon,poulet,35,167,0.4,0.5,-0.1,-0.1,0.0,True
jambon_cuit,fleury-michon,dinde,12,25,0.87,0.4,0.47,0.0,1.15,False
jambon_cuit,carrefour,dinde,6,6,0.8,0.55,,,,False
jambon_cuit,fleury-michon,volaille_autre,6,6,1.7,0.4,,,,False
