etablissement,n,n_marques,n_halal,ecart_median,marque_dominante,part_dominante_pct,ecart_sans_dominante,n_sans_dominante,regle_30
it-0-4-m,13,3,3,3.0,aia,76.9,,3,sous 30
fr-67-226-002,13,2,0,3.0,metzger-muller,92.3,,1,sous 30
it-0-851-m,16,2,3,3.0,aia,87.5,,2,sous 30
fr-44-026-009,16,5,0,3.0,maison-quillard-fils,31.2,-3.0,11,sous 30
fr-62-194-002,11,6,0,3.0,vasseur,18.2,,9,sous 30
de-ni-10021,11,2,0,3.0,l-etal-du-volailler,90.9,,1,sous 30
fr-12-063-028,20,7,0,3.5,la-jasse,30.0,6.0,14,sous 30
fr-70-093-001,30,8,1,3.5,philippe-wagner,13.3,4.0,26,franchie
fr-61-096-018,35,8,13,3.5,volae,20.0,3.0,28,franchie
fr-42-305-003,22,2,0,3.5,despi,31.8,4.0,15,sous 30
fr-53-121-001,12,1,1,3.5,l-etal-du-volailler,16.7,,0,sous 30
fr-69-243-004,50,16,0,4.0,auchan,30.0,4.0,35,franchie
fr-44-072-002,65,30,3,4.0,carrefour,15.4,4.0,55,franchie
fr-67-482-004,19,8,0,4.0,escal,42.1,5.0,11,sous 30
it-1321-l,11,2,0,4.0,corte-del-gusto,81.8,,2,sous 30
fr-25-493-050,14,3,0,4.0,romanzini,14.3,3.5,12,sous 30
fr-26-337-021,11,2,1,4.0,tendriade,81.8,,2,sous 30
fr-42-175-001,55,16,0,4.0,merle,27.3,3.0,40,franchie
fr-40-281-001,31,13,0,4.0,delpeyrat,32.3,5.0,21,franchie
fr-22-388-001,44,9,0,4.0,marque-repere,54.5,5.0,20,franchie
fr-89-029-002,17,7,0,4.0,carrefour,23.5,4.0,13,sous 30
fr-39-475-003,44,17,0,4.5,michel-bolard,22.7,4.0,34,franchie
fr-77-053-006,20,7,0,4.8,frais-devant,50.0,2.2,10,sous 30
fr-65-304-002,47,7,0,5.0,maison-montfort,59.6,6.0,19,franchie
fr-97-416-003,16,3,0,5.0,le-fleuron-de-la-reunion,68.8,,5,sous 30
fr-21-200-001,15,11,0,5.0,marque-repere,20.0,5.0,12,sous 30
fr-43-262-002,16,8,0,5.0,carrefour,25.0,4.5,12,sous 30
fr-14-167-021,21,10,1,5.0,carrefour,23.8,5.0,16,sous 30
fr-07-338-002,30,7,0,5.0,gueze,40.0,7.0,18,franchie
fr-46-128-002,17,6,0,5.0,carrefour,23.5,5.0,13,sous 30
fr-38-012-001,223,39,0,5.5,aoste,35.0,1.0,145,franchie
be-b255,11,8,0,6.0,saint-alby,27.3,,8,sous 30
fr-12-195-007,25,8,0,6.0,carrefour,8.0,6.0,23,sous 30
fr-01-159-002,53,21,0,6.0,roland-monterrat,18.9,6.0,43,franchie
fr-22-300-001,13,1,0,6.0,l-uzelaise,7.7,,0,sous 30
fr-22-277-004,13,2,12,7.0,oriental-viandes,38.5,,8,sous 30
fr-85-217-004,19,11,0,7.0,sodebo,15.8,6.5,16,sous 30
fr-54-265-024,21,4,0,8.0,marion,61.9,,8,sous 30
fr-56-010-003,12,1,0,8.0,intermarche,8.3,,0,sous 30
fr-85-006-001,71,15,0,8.0,petitgas,40.8,9.5,42,franchie
fr-41-053-002,12,4,10,8.0,aljadid,41.7,,7,sous 30
fr-56-222-002,85,16,71,8.0,reghalal,31.8,6.0,58,franchie
de-ni-10045,17,10,0,8.0,lidl,17.6,8.0,14,sous 30
it-754-l,12,3,0,9.0,salumificio-san-carlo,83.3,,2,sous 30
fr-56-166-001,39,3,38,9.0,isla-mondial,92.3,,3,franchie
fr-81-124-068,18,4,0,9.0,oberti,44.4,9.0,10,sous 30
fr-2b-332-001,19,4,0,9.0,carrefour,57.9,,8,sous 30
fr-79-049-002,28,16,0,10.0,hereford,25.0,11.0,21,sous 30
fr-2b-042-001,10,1,0,10.0,fontana,10.0,,0,sous 30
fr-35-223-002,17,3,0,10.0,atelier-de-l-argoat,29.4,9.5,12,sous 30
fr-73-065-717,20,4,0,10.0,kanyon,10.0,10.0,18,sous 30
it-h360t,20,5,0,11.0,parmacotto,75.0,,5,sous 30
fr-38-336-001,10,3,0,11.0,le-graton-lyonnais,60.0,,4,sous 30
fr-89-013-001,20,1,20,11.5,arabi,95.0,,0,sous 30
fr-65-286-002,11,10,1,12.0,api,9.1,12.0,10,sous 30
es-10-13604-ge,15,9,0,12.0,carrefour,26.7,9.0,11,sous 30
fr-42-156-006,53,5,52,12.5,isla-delice,92.5,,4,franchie
fr-64-513-004,15,11,0,13.0,casino,26.7,13.0,11,sous 30
es-10-20053-cr,10,7,0,13.0,auchan,20.0,,8,sous 30
fr-11-262-047,97,28,0,13.0,montagne-noire,19.6,12.5,78,franchie
fr-64-510-003,29,8,0,13.0,michel-dupuy,44.8,13.0,16,sous 30
fr-40-261-001,34,8,0,13.0,labeyrie,35.3,13.0,22,franchie
de-ni-33333,21,11,0,14.0,dulano,23.8,14.0,16,sous 30
fr-24-381-001,25,7,0,14.0,le-saloir-du-perigord,52.0,14.0,12,sous 30
fr-69-270-001,14,8,0,14.0,maison-bolard,21.4,13.0,11,sous 30
it-h5h5g,33,8,0,15.0,negroni,33.3,4.5,22,franchie
it-1157-l,11,2,0,15.0,citterio,90.9,,1,sous 30
fr-65-100-003,58,22,0,15.0,carrefour,37.9,14.5,36,franchie
it-335-l,15,7,0,15.0,carrefour,33.3,14.5,10,sous 30
fr-64-010-003,31,14,0,15.0,carrefour,19.4,15.0,25,franchie
it-1907-l,48,10,0,15.0,villani,27.1,15.0,35,franchie
it-607-l,16,4,0,15.0,corte-del-gusto,56.2,,7,sous 30
fr-40-020-002,12,7,0,23.0,delpeyrat,41.7,,7,sous 30
