code,nom,marque,produit,espece,bras,ns,grade,sel,proteines,regle
0211791030118,Filets de poulet rôtis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791030248,Filets de poulet,Volea,blanc_de_poulet,poulet,temoin,1.0,b,1.35,24.1,decoupe_crue
0211791030507,Filets de Poulet Rôtis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.4,24.1,decoupe_crue
0211791030576,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791030705,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791030835,Filets de poulet Rôtis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791030965,2 filets de poulets rôtis traités en salaison,Netto,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791031030,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791031160,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791031290,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.7,decoupe_crue
0211791031351,Filet de Poulet Rôti,"Intermarché, Volaé",blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791031627,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791031818,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791031887,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791031955,Filet de Poulet Rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791032013,Filets de poulet rôti,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791032143,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791032273,Filet de poulet rotis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.2599999904633,22.299999237061,decoupe_crue
0211791032341,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791032471,Filet de poulet roti,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.3,22.3,decoupe_crue
0211791032600,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.4,24.1,decoupe_crue
0211791032808,Filet de poulet rotis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791032860,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.3,23.0,decoupe_crue
0211791032990,Filets de Poulet Rôtis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.3,23.0,decoupe_crue
0211791033065,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791033133,Filets de poulet rôti,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791033263,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791033393,Filets de poulet rotis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.2599999904633,22.299999237061,decoupe_crue
0211791033720,Filets de poulet rotis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.3,23.0,decoupe_crue
0211791033782,Filets de poulet rôtis,"Volaé, Volaé ( intermarché )",blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791033911,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791034376,Filets de Poulet Rôtis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791034444,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791034574,Filets de poulet rôti,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.3,23.0,decoupe_crue
0211791034635,Filet de poulet,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791035229,Filets de poulet roti,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.35,24.1,decoupe_crue
0211791035366,Filets de poulet rôtis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791035625,Filets de poulet,,blanc_de_poulet,poulet,temoin,1.0,b,1.3,23.0,decoupe_crue
0211791035953,Filets de Poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.3,23.0,decoupe_crue
0211791036011,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791036349,Filets de Poulet Rôtis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791036479,Filets de poulet rôti,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.2599999904633,22.299999237061,decoupe_crue
0211791036738,Filets poulet rotis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.3,23.0,decoupe_crue
0211791037391,Filets de poulets rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.3,23.0,decoupe_crue
0211791038770,Filets de poulet,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791038909,Filet de poulet rotis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.35,24.1,decoupe_crue
0211791040285,Filets de poulets,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.3,23.0,decoupe_crue
0217637028271,Filets Rôtis de Poulet,Père Dodu,blanc_de_poulet,poulet,temoin,1.0,b,1.3,25.0,decoupe_crue
0217638025521,La Belle Escalope de dinde,Le Gaulois,blanc_de_poulet,dinde,temoin,21.0,e,15.0,24.0,decoupe_crue
0226280019420,Filets de poulet avec peau saumurés et rôtis,,blanc_de_poulet,poulet,temoin,2.0,b,1.4,25.0,decoupe_crue
0226280024738,Filets de poulets avec peau saumurés et rotis,Carrefour,blanc_de_poulet,poulet,temoin,2.0,b,1.4,25.0,decoupe_crue
0226280025193,Filets de poulet,,blanc_de_poulet,poulet,temoin,2.0,b,1.4,25.0,decoupe_crue
0226280027883,Filets de poulet,,blanc_de_poulet,poulet,temoin,2.0,b,1.4,25.0,decoupe_crue
0226280028675,Filets de poulet avec peau,,blanc_de_poulet,poulet,temoin,2.0,b,1.4,25.0,decoupe_crue
0226280029986,Filets de poulet,,blanc_de_poulet,poulet,temoin,2.0,b,1.4,25.0,decoupe_crue
0226280031033,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,2.0,b,1.4,25.0,decoupe_crue
0226280035420,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,0.0,a,1.2,24.0,decoupe_crue
0226280041261,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,0.0,a,1.2,24.0,decoupe_crue
0226280042374,Filets de poulet rôtis,Carrefour Original,blanc_de_poulet,poulet,temoin,0.0,a,1.2,24.0,decoupe_crue
0256600035823,Filets de poulet rôti,,blanc_de_poulet,poulet,temoin,0.0,a,1.1,25.0,decoupe_crue
0256600045525,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,0.0,a,1.1,25.0,decoupe_crue
0276601047496,Filets de poulet roti,,blanc_de_poulet,poulet,temoin,1.0,b,1.4,24.0,decoupe_crue
20067854,Hähnchenbrustfilet Teilstück,Metzgerfrisch,blanc_de_poulet,poulet,temoin,30.0,e,2.16,,decoupe_crue
20642631,Blanc de dinde,,blanc_de_poulet,dinde,temoin,4.0,c,1.86,14.6,decoupe_crue
20670382,Filet de poulet en lanieres,,blanc_de_poulet,poulet,temoin,11.0,d,2.1,21.0,decoupe_crue
20821159,Chicken fillets,El Tequiti Lidl,blanc_de_poulet,poulet,temoin,2.0,b,1.6725,20.7,decoupe_crue
20830427,Delikatessen Hähnchenbrust,Dulano,blanc_de_poulet,poulet,temoin,2.0,b,1.7,21.0,decoupe_crue
0217827045460,Escalope de Dinde et Chapelure Croustillante,Le Gaulois,blanc_de_poulet,dinde,temoin,1.0,b,1.5,21.0,decoupe_crue
0217966016468,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966017656,Aiguillettes de Poulet Grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966017977,Aiguillettes de poulet grillé,,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966018639,Aiguillettes de poulet Grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966018967,Aiguillettes de poulet Grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966019094,Aiguillettes de poulet grille,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966019612,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966019940,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966020144,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966020861,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966021127,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966021196,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966021585,Aiguillettes de poulet,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966021653,Aiguillettes de poulet grillé,,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
