groupe,n,median,q1,q3,diff_vs_halal_sans_label_france,ic95_bas,ic95_haut,regle_30
halal_sans_label_france,1840,1.8,1.2,2.6,,,,franchie
halal_france_visible,108,2.0,1.35,2.4,0.2,-0.089,0.4,franchie
