rang,rang_min,rang_max,marque,n,ecart_median,ic95_bas,ic95_haut,regle_30,strates_couvertes,gamme_halal,profil
337,46,395,id-halal,35,3.0,0.0,10.0,franchie,14,oui,specialiste halal
338,107,391,doux,17,3.0,1.0,7.0,sous 30,6,oui,gamme halal minoritaire
339,107,382,royal-bourbon,17,3.0,1.0,3.0,sous 30,2,non,hors bras halal
340,170,390,reflets-de-france,24,3.0,2.0,5.5,sous 30,8,non,hors bras halal
341,107,394,isla-mondial,76,3.0,1.0,8.5,franchie,22,oui,specialiste halal
342,46,390,of-tov,39,3.0,0.0,5.0,franchie,10,non,hors bras halal
343,107,398,le-flutiau,17,3.0,1.0,13.0,sous 30,5,non,hors bras halal
344,10,395,piquebroche,17,3.0,-4.0,11.0,sous 30,6,non,hors bras halal
345,107,385,roger-vidal,17,3.0,1.0,4.0,sous 30,8,non,hors bras halal
346,15,395,transgourmet,18,3.5,-2.0,10.5,sous 30,11,non,hors bras halal
347,163,385,prunier,18,3.5,1.5,4.5,sous 30,8,non,hors bras halal
348,170,398,carrefour-original,15,4.0,2.0,13.0,sous 30,3,non,hors bras halal
349,231,385,escal,47,4.0,3.0,4.0,franchie,2,non,hors bras halal
350,46,394,le-fleuron-de-la-reunion,18,4.0,0.0,8.0,sous 30,6,non,hors bras halal
351,276,391,maison-monterrat,18,4.0,4.0,6.0,sous 30,3,non,hors bras halal
352,46,385,philippe-wagner,23,4.0,0.0,4.0,sous 30,6,non,hors bras halal
353,170,394,oriental-viandes,85,4.0,2.0,8.5,franchie,31,oui,specialiste halal
354,231,390,vitasia,15,4.0,3.0,5.0,sous 30,3,non,hors bras halal
355,170,385,michel-bolard,21,4.0,2.0,4.0,sous 30,4,non,hors bras halal
356,170,390,loeul-et-piriot,77,4.0,2.0,5.0,franchie,3,non,hors bras halal
357,231,390,francaise-de-gastronomie,46,4.0,3.0,5.0,franchie,3,non,hors bras halal
358,170,395,isla-delice,183,4.0,2.0,10.0,franchie,32,oui,specialiste halal
359,15,391,saveurs-bressanes,17,4.0,-2.0,7.0,sous 30,9,non,hors bras halal
360,46,395,wassila,21,5.0,0.0,11.0,sous 30,12,oui,specialiste halal
361,107,395,boni,39,5.0,1.0,10.0,franchie,11,non,hors bras halal
362,301,390,petitgas,65,5.0,5.0,5.0,franchie,9,non,hors bras halal
363,231,390,pierre-laguilhon,46,5.0,3.0,5.0,franchie,12,non,hors bras halal
364,46,398,negroni,79,5.0,0.0,14.0,franchie,8,non,hors bras halal
365,231,398,ronsard,42,5.0,3.0,14.0,franchie,9,non,hors bras halal
366,170,391,tempe,43,5.0,2.0,6.0,franchie,10,non,hors bras halal
367,276,390,claviere,28,5.0,4.0,5.0,sous 30,5,non,hors bras halal
368,46,394,cipressi-in-chianti,15,5.0,0.0,9.0,sous 30,9,non,hors bras halal
369,231,395,reghalal,112,5.5,3.0,10.0,franchie,24,oui,specialiste halal
370,170,394,suntat,21,6.0,2.0,8.0,sous 30,10,oui,specialiste halal
371,231,391,jack-link-s,39,6.0,3.0,6.0,franchie,4,oui,gamme halal minoritaire
372,301,391,tendriade,73,6.0,5.0,7.0,franchie,9,non,hors bras halal
373,276,391,roland-monterrat,17,6.0,4.0,7.0,sous 30,4,non,hors bras halal
374,46,395,halal,20,6.0,0.0,10.0,sous 30,10,oui,specialiste halal
375,22,395,realvalle,29,7.0,-1.0,11.0,sous 30,6,non,hors bras halal
376,170,394,merle,35,8.0,2.0,9.0,franchie,5,non,hors bras halal
377,301,395,delpeyrat,194,8.0,5.0,10.0,franchie,15,non,hors bras halal
378,46,395,hunkar,16,8.0,0.0,11.0,sous 30,7,oui,specialiste halal
379,337,395,marion,21,8.0,8.0,10.0,sous 30,4,non,hors bras halal
380,15,398,al-jadid,21,8.0,-2.0,13.0,sous 30,12,oui,specialiste halal
381,107,397,frais-devant,31,9.0,1.0,12.0,franchie,7,non,hors bras halal
382,301,397,labeyrie,99,9.0,5.0,12.0,franchie,17,non,hors bras halal
383,15,398,peguet-savoie,24,9.5,-2.0,14.0,sous 30,4,non,hors bras halal
384,46,398,villani,55,10.0,0.0,15.0,franchie,7,non,hors bras halal
385,322,397,aoste,227,10.0,6.0,12.0,franchie,14,non,hors bras halal
386,337,395,boadas,29,10.0,8.0,11.0,sous 30,6,non,hors bras halal
387,337,397,arabi,44,11.0,8.0,12.0,franchie,13,oui,specialiste halal
388,170,398,argal,36,12.0,2.0,13.0,franchie,6,non,hors bras halal
389,301,398,serrano,26,12.0,5.0,13.0,sous 30,6,non,hors bras halal
390,170,398,simon,21,12.0,2.0,15.0,sous 30,8,non,hors bras halal
391,367,397,michel-dupuy,29,12.0,12.0,12.0,sous 30,5,non,hors bras halal
392,231,398,corte-del-gusto,31,12.0,3.0,15.0,franchie,6,non,hors bras halal
393,46,398,montorsi,31,12.0,0.0,16.0,franchie,7,non,hors bras halal
394,170,398,navidul,19,12.0,2.0,13.0,sous 30,4,non,hors bras halal
395,367,398,le-saloir-du-perigord,15,13.0,12.0,13.0,sous 30,2,non,hors bras halal
396,46,398,rosa-dell-angelo,20,13.5,0.0,16.0,sous 30,6,non,hors bras halal
397,377,398,italiamo,54,14.0,13.0,14.0,franchie,13,non,hors bras halal
398,346,398,volibon,15,15.0,10.0,16.0,sous 30,4,oui,specialiste halal
