rang,rang_min,rang_max,marque,n,ecart_median,ic95_bas,ic95_haut,regle_30,strates_couvertes,gamme_halal,profil
94,22,301,picard,503,-1.0,-1.0,0.0,franchie,34,non,hors bras halal
95,22,346,pierre-champion,33,-1.0,-1.0,1.0,franchie,12,non,hors bras halal
96,15,346,larnaudie,68,-1.0,-2.5,1.0,franchie,11,non,hors bras halal
97,22,301,u,1832,-1.0,-1.0,0.0,franchie,48,non,hors bras halal
98,22,208,charal,906,-1.0,-1.0,-1.0,franchie,13,oui,gamme halal marginale (< 5 produits)
99,5,208,charcuterie-ruel,49,-1.0,-7.0,-1.0,franchie,8,non,hors bras halal
100,22,301,claude-vetillard,22,-1.0,-1.5,0.0,sous 30,6,non,hors bras halal
101,22,301,la-cuisine-d-oceane,55,-1.0,-1.0,0.0,franchie,9,non,hors bras halal
102,22,208,zapetti,78,-1.0,-1.0,-1.0,franchie,5,non,hors bras halal
103,15,306,carrefour-bio,68,-1.0,-2.0,0.5,franchie,21,non,hors bras halal
104,22,346,beretta,33,-1.0,-1.0,1.0,franchie,9,non,hors bras halal
105,15,346,bonjour-campagne,63,-1.0,-2.0,1.0,franchie,17,non,hors bras halal
106,22,346,bioporc,81,-1.0,-1.0,1.0,franchie,13,non,hors bras halal
107,15,301,biocoop,115,-1.0,-2.0,0.0,franchie,20,non,hors bras halal
108,15,208,bio-village,84,-1.0,-2.0,-1.0,franchie,24,non,hors bras halal
109,11,301,broceliande,82,-1.0,-3.0,0.0,franchie,11,non,hors bras halal
110,15,301,brient,46,-1.0,-2.0,0.012,franchie,11,non,hors bras halal
111,10,373,bonval,41,-1.0,-4.0,2.0,franchie,9,non,hors bras halal
112,15,301,bigard,225,-1.0,-2.0,0.0,franchie,20,non,hors bras halal
113,11,394,pedelhez,16,-0.5,-3.5,8.0,sous 30,6,non,hors bras halal
114,11,346,tradival,47,0.0,-3.0,1.0,franchie,10,non,hors bras halal
115,22,346,valette,71,0.0,-1.0,1.0,franchie,13,non,hors bras halal
116,46,301,thiriet,393,0.0,0.0,0.0,franchie,33,non,hors bras halal
117,46,382,volae,245,0.0,0.0,3.0,franchie,9,non,hors bras halal
