label,n,ecart_median,ic95_bas,ic95_haut,strates,pct_halal,distingue_du_marche
fr:poulet-francais,132,-0.0,-0.271,0.379,13,1.5,non
en:eu-non-eu-agriculture,499,-0.0,-0.0,0.8,39,0.0,non
en:fsc-mix,99,-0.0,-0.271,0.9,24,2.0,non
en:french-poultry,6070,-0.0,-0.0,-0.0,44,3.1,non
en:it-bio-009,38,-0.0,-1.705,1.5,10,0.0,non
en:high-proteins,114,-0.0,-0.286,0.684,20,0.9,non
en:certified-by-ecocert,35,-0.0,-1.0,1.9,16,0.0,non
en:eu-agriculture,733,-0.0,-0.0,-0.0,42,0.1,non
de:ohne-gentechnik,33,-0.0,-2.0,0.1,14,2.9,non
en:carbon-footprint,309,-0.0,-0.3,-0.0,14,0.0,non
fr:herta-s-engage,164,-0.0,-0.0,-0.0,8,0.0,non
fr:lapin-francais,202,-0.0,-1.0,-0.0,9,0.0,non
fr:nouvelle-agriculture,465,-0.0,-0.0,-0.0,15,0.0,non
fr:sans-antioxydant-ajoute,31,-0.0,-0.0,1.0,8,0.0,non
fr:selection-intermarche,396,-0.0,-0.1,0.3,35,0.3,non
fr:societe-francaise-de-controle-de-viande-halal,98,-0.0,-0.0,-0.0,23,100.0,non
fr:saveurs-en-or,128,-0.0,-1.0,-0.0,25,0.0,non
fr:triman,2664,-0.0,-0.0,-0.0,57,2.3,non
fr:sans-nitrite,46,-0.0,-0.5,1.0,12,0.0,non
en:fsc,168,0.064,-0.071,0.9,29,1.2,non
en:no-additives,551,0.1,-0.0,0.6,41,1.3,non
en:natural-flavors,102,0.179,-0.0,1.0,20,2.9,non
en:source-of-proteins,130,0.179,-0.0,1.179,20,0.8,non
fr:eco-emballages,590,0.3,-0.0,0.814,43,2.5,non
en:distributor-labels,501,0.3,-0.0,0.4,38,0.2,non
en:in-braille,92,0.379,-0.576,1.0,23,0.0,non
en:pure-beef,235,0.4,-0.0,1.0,12,7.7,non
en:gold-medal-of-the-german-agricultural-society,32,0.4,-0.7,2.7,13,0.0,non
en:no-lactose,613,0.429,-0.0,1.0,42,1.5,non
en:new,77,0.5,-0.0,1.0,20,2.6,non
en:no-flavors,115,0.6,-0.3,1.6,19,0.0,non
en:nutriscore-grade-b,2051,0.6,0.129,0.815,41,0.8,oui
en:no-hydrogenated-fats,39,0.629,-0.771,1.429,9,0.0,non
en:new-recipe,69,0.639,-0.0,1.0,19,0.0,non
fr:entrepreneurs-engages,68,0.664,-0.2,2.0,25,2.9,non
en:cooked-in-france,330,0.8,0.478,1.1,28,0.0,oui
fr:saveurs-de-l-annee,71,0.8,-0.0,2.0,29,1.4,non
en:pure-pork,317,0.8,-0.0,1.0,14,0.0,non
en:2016-nutrition-labelling-experiment,114,0.864,0.129,1.3,11,0.0,oui
en:crossed-grain-trademark,52,1.0,0.264,1.564,13,0.0,oui
de:ohne-polyphosphate,49,1.0,-1.0,1.512,16,2.0,non
en:smoked-with-beech-wood,388,1.0,-0.0,1.0,23,4.1,non
en:made-in-germany,167,1.0,0.6,2.0,26,2.4,oui
en:no-artificial-flavors,766,1.0,1.0,1.129,44,1.0,oui
en:no-flavour-enhancer,257,1.0,1.0,1.3,33,3.9,oui
en:nutriscore-experiment,147,1.0,0.329,1.4,17,0.0,oui
en:products-for-professional-use,58,1.0,0.15,1.3,23,10.3,oui
en:carrefour-quality,97,1.0,0.629,1.229,26,0.0,oui
fr:pme-plus,92,1.0,-0.0,2.0,20,0.0,non
es:natural,33,1.0,-0.7,1.0,9,3.0,non
