marque,n,ecart_median,ic95_bas,ic95_haut,regle_30,strates_couvertes,gamme_halal
royal-bourbon,17,3.0,1.0,3.0,sous 30,2,non
reflets-de-france,24,3.0,2.0,5.5,sous 30,8,non
isla-mondial,76,3.0,1.0,8.5,franchie,22,oui
of-tov,39,3.0,0.0,5.0,franchie,10,non
le-flutiau,17,3.0,1.0,13.0,sous 30,5,non
piquebroche,17,3.0,-4.0,11.0,sous 30,6,non
roger-vidal,17,3.0,1.0,4.0,sous 30,8,non
transgourmet,18,3.5,-2.0,10.5,sous 30,11,non
prunier,18,3.5,1.5,4.5,sous 30,8,non
carrefour-original,15,4.0,2.0,13.0,sous 30,3,non
escal,47,4.0,3.0,4.0,franchie,2,non
le-fleuron-de-la-reunion,18,4.0,0.0,8.0,sous 30,6,non
maison-monterrat,18,4.0,4.0,6.0,sous 30,3,non
philippe-wagner,23,4.0,0.0,4.0,sous 30,6,non
oriental-viandes,85,4.0,2.0,8.5,franchie,31,oui
vitasia,15,4.0,3.0,5.0,sous 30,3,non
michel-bolard,21,4.0,2.0,4.0,sous 30,4,non
loeul-et-piriot,77,4.0,2.0,5.0,franchie,3,non
francaise-de-gastronomie,46,4.0,3.0,5.0,franchie,3,non
isla-delice,183,4.0,2.0,10.0,franchie,32,oui
saveurs-bressanes,17,4.0,-2.0,7.0,sous 30,9,non
wassila,21,5.0,0.0,11.0,sous 30,12,oui
boni,39,5.0,1.0,10.0,franchie,11,non
petitgas,65,5.0,5.0,5.0,franchie,9,non
pierre-laguilhon,46,5.0,3.0,5.0,franchie,12,non
negroni,79,5.0,0.0,14.0,franchie,8,non
ronsard,42,5.0,3.0,14.0,franchie,9,non
tempe,43,5.0,2.0,6.0,franchie,10,non
claviere,28,5.0,4.0,5.0,sous 30,5,non
cipressi-in-chianti,15,5.0,0.0,9.0,sous 30,9,non
reghalal,112,5.5,3.0,10.0,franchie,24,oui
suntat,21,6.0,2.0,8.0,sous 30,10,oui
jack-link-s,39,6.0,3.0,6.0,franchie,4,oui
tendriade,73,6.0,5.0,7.0,franchie,9,non
roland-monterrat,17,6.0,4.0,7.0,sous 30,4,non
halal,20,6.0,0.0,10.0,sous 30,10,oui
realvalle,29,7.0,-1.0,11.0,sous 30,6,non
merle,35,8.0,2.0,9.0,franchie,5,non
delpeyrat,194,8.0,5.0,10.0,franchie,15,non
hunkar,16,8.0,0.0,11.0,sous 30,7,oui
marion,21,8.0,8.0,10.0,sous 30,4,non
al-jadid,21,8.0,-2.0,13.0,sous 30,12,oui
frais-devant,31,9.0,1.0,12.0,franchie,7,non
labeyrie,99,9.0,5.0,12.0,franchie,17,non
peguet-savoie,24,9.5,-2.0,14.0,sous 30,4,non
villani,55,10.0,0.0,15.0,franchie,7,non
aoste,227,10.0,6.0,12.0,franchie,14,non
boadas,29,10.0,8.0,11.0,sous 30,6,non
arabi,44,11.0,8.0,12.0,franchie,13,oui
argal,36,12.0,2.0,13.0,franchie,6,non
serrano,26,12.0,5.0,13.0,sous 30,6,non
simon,21,12.0,2.0,15.0,sous 30,8,non
michel-dupuy,29,12.0,12.0,12.0,sous 30,5,non
corte-del-gusto,31,12.0,3.0,15.0,franchie,6,non
montorsi,31,12.0,0.0,16.0,franchie,7,non
navidul,19,12.0,2.0,13.0,sous 30,4,non
le-saloir-du-perigord,15,13.0,12.0,13.0,sous 30,2,non
rosa-dell-angelo,20,13.5,0.0,16.0,sous 30,6,non
italiamo,54,14.0,13.0,14.0,franchie,13,non
volibon,15,15.0,10.0,16.0,sous 30,4,oui
