label,n,ecart_median,ic95_bas,ic95_haut,strates,pct_halal,distingue_du_marche
en:products-for-professional-use,57,0.0,-1.0,2.0,23,10.3,non
en:pure-beef,225,0.0,-1.0,0.0,12,7.7,non
en:pasteurized,32,0.0,-1.5,1.0,7,9.4,non
en:produced-in-brittany,650,0.0,-1.0,0.0,31,0.0,non
en:made-in-france,4299,0.0,0.0,0.0,58,2.4,non
en:made-in-germany,162,0.0,0.0,1.5,26,2.4,non
en:no-additives,544,0.0,-1.0,0.0,41,1.3,non
en:made-in-swiss,89,0.0,-1.0,0.0,21,0.0,non
en:no-artificial-flavors,764,0.0,-1.0,0.0,44,1.0,non
en:no-colorings,3956,0.0,0.0,0.0,52,1.1,non
en:societe-francaise-de-controle-de-viande-halal-grande-mosquee-de-paris,40,0.0,0.0,0.0,12,100.0,non
fr:100-filet,61,0.0,-1.0,0.0,9,11.5,non
en:transformed-in-france,531,0.0,-1.0,0.0,38,0.2,non
en:with-guerande-salt,40,0.0,-1.0,4.5,15,0.0,non
en:no-gluten,3249,0.0,0.0,0.0,54,3.4,non
en:no-flavour-enhancer,255,0.0,-1.0,0.0,33,3.9,non
en:nutriscore-experiment-grade-b,46,0.0,-1.0,0.0,8,0.0,non
en:nutriscore-grade-c,1673,0.0,0.0,0.0,39,2.4,non
en:no-lactose,613,0.0,-1.0,0.0,42,1.5,non
en:no-hydrogenated-fats,38,0.0,-1.0,0.0,9,0.0,non
fr:entrepreneurs-engages,67,0.0,-1.0,0.0,25,2.9,non
fr:info-tri-point-vert,186,0.0,-1.0,0.0,28,1.1,non
fr:race-charolaise,60,0.0,0.0,0.0,8,1.6,non
fr:origine-france,276,0.0,-1.0,1.0,42,1.1,non
fr:societe-francaise-de-controle-de-viande-halal,96,0.0,0.0,0.0,23,100.0,non
fr:triman,2642,0.0,0.0,0.0,57,2.3,non
fr:poulet-francais,131,0.0,-1.0,0.0,13,1.5,non
en:new,76,0.0,0.0,0.5,20,2.6,non
en:in-braille,91,0.0,-1.0,1.0,23,0.0,non
en:fsc,161,0.0,-1.0,0.0,29,1.2,non
en:100-muscle,451,0.0,-1.0,0.0,7,4.7,non
en:distributor-labels,501,0.0,-1.0,0.0,38,0.2,non
en:cooked-in-france,325,0.0,-1.0,0.0,28,0.0,non
en:30-less-fat,34,0.0,-1.0,0.0,7,0.0,non
en:french-duck,188,0.0,0.0,0.0,11,0.0,non
en:fr-bio-13,45,0.0,-4.0,3.0,8,0.0,non
en:french-agriculture,50,0.0,-2.0,1.0,13,1.9,non
en:french-beef,2754,0.0,-1.0,0.0,24,1.7,non
en:french-pork,8984,0.0,0.0,0.0,39,0.0,non
en:french-meat,18638,0.0,0.0,0.0,58,1.3,non
